sample_id,condition,idea_id,value
broad_flat_0087,broad_flat,broad_flat_idea036,2.0
broad_flat_0088,broad_flat,broad_flat_idea075,3.0
broad_flat_0089,broad_flat,broad_flat_idea072,5.0
broad_flat_0090,broad_flat,broad_flat_idea002,1.0
broad_flat_0091,broad_flat,broad_flat_idea064,2.0
broad_flat_0092,broad_flat,broad_flat_idea007,3.0
broad_flat_0093,broad_flat,broad_flat_idea059,2.0
broad_flat_0094,broad_flat,broad_flat_idea015,2.0
broad_flat_0095,broad_flat,broad_flat_idea050,5.0
broad_flat_0096,broad_flat,broad_flat_idea050,5.0
broad_flat_0097,broad_flat,broad_flat_idea063,2.0
broad_flat_0098,broad_flat,broad_flat_idea077,2.0
broad_flat_0099,broad_flat,broad_flat_idea013,3.0
broad_flat_0100,broad_flat,broad_flat_idea041,2.0
broad_flat_0101,broad_flat,broad_flat_idea052,2.0
broad_flat_0102,broad_flat,broad_flat_idea002,1.0
broad_flat_0103,broad_flat,broad_flat_idea045,4.0
broad_flat_0104,broad_flat,broad_flat_idea016,3.0
broad_flat_0105,broad_flat,broad_flat_idea006,3.0
broad_flat_0106,broad_flat,broad_flat_idea034,2.0
broad_flat_0107,broad_flat,broad_flat_idea027,4.0
broad_flat_0108,broad_flat,broad_flat_idea037,3.0
broad_flat_0109,broad_flat,broad_flat_idea043,4.0
broad_flat_0110,broad_flat,broad_flat_idea030,2.0
broad_flat_0111,broad_flat,broad_flat_idea069,3.0
broad_flat_0112,broad_flat,broad_flat_idea007,3.0
broad_flat_0113,broad_flat,broad_flat_idea014,3.0
broad_flat_0114,broad_flat,broad_flat_idea019,2.0
broad_flat_0115,broad_flat,broad_flat_idea056,3.0
broad_flat_0116,broad_flat,broad_flat_idea044,4.0
broad_flat_0117,broad_flat,broad_flat_idea009,3.0
broad_flat_0118,broad_flat,broad_flat_idea053,4.0
broad_flat_0119,broad_flat,broad_flat_idea055,3.0
broad_flat_0120,broad_flat,broad_flat_idea055,3.0
broad_flat_0121,broad_flat,broad_flat_idea002,1.0
broad_flat_0122,broad_flat,broad_flat_idea009,3.0
broad_flat_0123,broad_flat,broad_flat_idea068,2.0
broad_flat_0124,broad_flat,broad_flat_idea066,2.0
broad_flat_0125,broad_flat,broad_flat_idea009,3.0
broad_flat_0126,broad_flat,broad_flat_idea035,4.0
broad_flat_0127,broad_flat,broad_flat_idea012,3.0
broad_flat_0128,broad_flat,broad_flat_idea023,3.0
broad_flat_0129,broad_flat,broad_flat_idea000,2.0
broad_flat_0130,broad_flat,broad_flat_idea014,3.0
broad_flat_0131,broad_flat,broad_flat_idea013,3.0
broad_flat_0132,broad_flat,broad_flat_idea071,2.0
broad_flat_0133,broad_flat,broad_flat_idea038,4.0
broad_flat_0134,broad_flat,broad_flat_idea007,3.0
broad_flat_0135,broad_flat,broad_flat_idea024,4.0
broad_flat_0136,broad_flat,broad_flat_idea030,2.0
broad_flat_0137,broad_flat,broad_flat_idea042,2.0
broad_flat_0138,broad_flat,broad_flat_idea033,4.0
broad_flat_0139,broad_flat,broad_flat_idea024,4.0
broad_flat_0140,broad_flat,broad_flat_idea016,3.0
broad_flat_0141,broad_flat,broad_flat_idea037,3.0
broad_flat_0142,broad_flat,broad_flat_idea077,2.0
broad_flat_0143,broad_flat,broad_flat_idea035,4.0
broad_flat_0144,broad_flat,broad_flat_idea067,3.0
broad_flat_0145,broad_flat,broad_flat_idea000,2.0
broad_flat_0146,broad_flat,broad_flat_idea009,3.0
broad_flat_0147,broad_flat,broad_flat_idea065,4.0
broad_flat_0148,broad_flat,broad_flat_idea036,2.0
broad_flat_0149,broad_flat,broad_flat_idea029,3.0
broad_flat_0150,broad_flat,broad_flat_idea020,3.0
broad_flat_0151,broad_flat,broad_flat_idea015,2.0
broad_flat_0152,broad_flat,broad_flat_idea046,5.0
broad_flat_0153,broad_flat,broad_flat_idea020,3.0
broad_flat_0154,broad_flat,broad_flat_idea025,5.0
broad_flat_0155,broad_flat,broad_flat_idea056,3.0
broad_flat_0156,broad_flat,broad_flat_idea074,4.0
broad_flat_0157,broad_flat,broad_flat_idea079,3.0
broad_flat_0158,broad_flat,broad_flat_idea029,3.0
broad_flat_0159,broad_flat,broad_flat_idea005,3.0
broad_flat_0160,broad_flat,broad_flat_idea000,2.0
broad_flat_0161,broad_flat,broad_flat_idea030,2.0
broad_flat_0162,broad_flat,broad_flat_idea002,1.0
broad_flat_0163,broad_flat,broad_flat_idea004,4.0
broad_flat_0164,broad_flat,broad_flat_idea011,4.0
broad_flat_0165,broad_flat,broad_flat_idea079,3.0
broad_flat_0166,broad_flat,broad_flat_idea006,3.0
broad_flat_0167,broad_flat,broad_flat_idea004,4.0
broad_flat_0168,broad_flat,broad_flat_idea070,1.0
broad_flat_0169,broad_flat,broad_flat_idea041,2.0
broad_flat_0170,broad_flat,broad_flat_idea052,2.0
broad_flat_0171,broad_flat,broad_flat_idea019,2.0
broad_flat_0172,broad_flat,broad_flat_idea072,5.0
broad_flat_0173,broad_flat,broad_flat_idea077,2.0
broad_flat_0174,broad_flat,broad_flat_idea035,4.0
broad_flat_0175,broad_flat,broad_flat_idea078,4.0
broad_flat_0176,broad_flat,broad_flat_idea031,4.0
broad_flat_0177,broad_flat,broad_flat_idea025,5.0
broad_flat_0178,broad_flat,broad_flat_idea057,3.0
broad_flat_0179,broad_flat,broad_flat_idea043,4.0
broad_flat_0180,broad_flat,broad_flat_idea008,3.0
broad_flat_0181,broad_flat,broad_flat_idea031,4.0
broad_flat_0182,broad_flat,broad_flat_idea000,2.0
broad_flat_0183,broad_flat,broad_flat_idea066,2.0
broad_flat_0184,broad_flat,broad_flat_idea034,2.0
broad_flat_0185,broad_flat,broad_flat_idea001,3.0
broad_flat_0186,broad_flat,broad_flat_idea073,2.0
broad_flat_0187,broad_flat,broad_flat_idea079,3.0
broad_flat_0188,broad_flat,broad_flat_idea052,2.0
broad_flat_0189,broad_flat,broad_flat_idea025,5.0
broad_flat_0190,broad_flat,broad_flat_idea038,4.0
broad_flat_0191,broad_flat,broad_flat_idea000,2.0
broad_flat_0192,broad_flat,broad_flat_idea004,4.0
broad_flat_0193,broad_flat,broad_flat_idea017,4.0
broad_flat_0194,broad_flat,broad_flat_idea023,3.0
broad_flat_0195,broad_flat,broad_flat_idea054,3.0
broad_flat_0196,broad_flat,broad_flat_idea007,3.0
broad_flat_0197,broad_flat,broad_flat_idea004,4.0
broad_flat_0198,broad_flat,broad_flat_idea048,5.0
broad_flat_0199,broad_flat,broad_flat_idea067,3.0
broad_flat_0200,broad_flat,broad_flat_idea066,2.0
broad_flat_0201,broad_flat,broad_flat_idea052,2.0
broad_flat_0202,broad_flat,broad_flat_idea078,4.0
broad_flat_0203,broad_flat,broad_flat_idea032,4.0
broad_flat_0204,broad_flat,broad_flat_idea056,3.0
broad_flat_0205,broad_flat,broad_flat_idea023,3.0
broad_flat_0206,broad_flat,broad_flat_idea019,2.0
broad_flat_0207,broad_flat,broad_flat_idea070,1.0
broad_flat_0208,broad_flat,broad_flat_idea025,5.0
broad_flat_0209,broad_flat,broad_flat_idea053,4.0
broad_flat_0210,broad_flat,broad_flat_idea030,2.0
broad_flat_0211,broad_flat,broad_flat_idea004,4.0
broad_flat_0212,broad_flat,broad_flat_idea004,4.0
broad_flat_0213,broad_flat,broad_flat_idea031,4.0
broad_flat_0214,broad_flat,broad_flat_idea049,5.0
broad_flat_0215,broad_flat,broad_flat_idea052,2.0
broad_flat_0216,broad_flat,broad_flat_idea017,4.0
broad_flat_0217,broad_flat,broad_flat_idea000,2.0
broad_flat_0218,broad_flat,broad_flat_idea033,4.0
broad_flat_0219,broad_flat,broad_flat_idea008,3.0
broad_flat_0220,broad_flat,broad_flat_idea016,3.0
broad_flat_0221,broad_flat,broad_flat_idea036,2.0
broad_flat_0222,broad_flat,broad_flat_idea021,4.0
broad_flat_0223,broad_flat,broad_flat_idea027,4.0
broad_flat_0224,broad_flat,broad_flat_idea001,3.0
broad_flat_0225,broad_flat,broad_flat_idea007,3.0
broad_flat_0226,broad_flat,broad_flat_idea062,2.0
broad_flat_0227,broad_flat,broad_flat_idea031,4.0
broad_flat_0228,broad_flat,broad_flat_idea067,3.0
broad_flat_0229,broad_flat,broad_flat_idea064,2.0
broad_flat_0230,broad_flat,broad_flat_idea008,3.0
broad_flat_0231,broad_flat,broad_flat_idea022,3.0
broad_flat_0232,broad_flat,broad_flat_idea032,4.0
broad_flat_0233,broad_flat,broad_flat_idea003,4.0
broad_flat_0234,broad_flat,broad_flat_idea003,4.0
broad_flat_0235,broad_flat,broad_flat_idea062,2.0
broad_flat_0236,broad_flat,broad_flat_idea061,2.0
broad_flat_0237,broad_flat,broad_flat_idea021,4.0
broad_flat_0238,broad_flat,broad_flat_idea049,5.0
broad_flat_0239,broad_flat,broad_flat_idea032,4.0
broad_flat_0240,broad_flat,broad_flat_idea053,4.0
broad_flat_0241,broad_flat,broad_flat_idea016,3.0
broad_flat_0242,broad_flat,broad_flat_idea028,2.0
broad_flat_0243,broad_flat,broad_flat_idea068,2.0
broad_flat_0244,broad_flat,broad_flat_idea060,2.0
broad_flat_0245,broad_flat,broad_flat_idea016,3.0
broad_flat_0246,broad_flat,broad_flat_idea067,3.0
broad_flat_0247,broad_flat,broad_flat_idea022,3.0
broad_flat_0248,broad_flat,broad_flat_idea047,2.0
broad_flat_0249,broad_flat,broad_flat_idea049,5.0
broad_flat_0250,broad_flat,broad_flat_idea022,3.0
broad_flat_0251,broad_flat,broad_flat_idea061,2.0
broad_flat_0252,broad_flat,broad_flat_idea027,4.0
broad_flat_0253,broad_flat,broad_flat_idea075,3.0
broad_flat_0254,broad_flat,broad_flat_idea073,2.0
broad_flat_0255,broad_flat,broad_flat_idea069,3.0
broad_flat_0256,broad_flat,broad_flat_idea069,3.0
broad_flat_0257,broad_flat,broad_flat_idea006,3.0
broad_flat_0258,broad_flat,broad_flat_idea043,4.0
broad_flat_0259,broad_flat,broad_flat_idea052,2.0
broad_flat_0260,broad_flat,broad_flat_idea033,4.0
broad_flat_0261,broad_flat,broad_flat_idea033,4.0
broad_flat_0262,broad_flat,broad_flat_idea009,3.0
broad_flat_0263,broad_flat,broad_flat_idea006,3.0
broad_flat_0264,broad_flat,broad_flat_idea056,3.0
broad_flat_0265,broad_flat,broad_flat_idea006,3.0
broad_flat_0266,broad_flat,broad_flat_idea051,4.0
broad_flat_0267,broad_flat,broad_flat_idea002,1.0
broad_flat_0268,broad_flat,broad_flat_idea023,3.0
broad_flat_0269,broad_flat,broad_flat_idea000,2.0
broad_flat_0270,broad_flat,broad_flat_idea044,4.0
broad_flat_0271,broad_flat,broad_flat_idea014,3.0
broad_flat_0272,broad_flat,broad_flat_idea027,4.0
broad_flat_0273,broad_flat,broad_flat_idea014,3.0
broad_flat_0274,broad_flat,broad_flat_idea031,4.0
broad_flat_0275,broad_flat,broad_flat_idea044,4.0
broad_flat_0276,broad_flat,broad_flat_idea007,3.0
broad_flat_0277,broad_flat,broad_flat_idea056,3.0
broad_flat_0278,broad_flat,broad_flat_idea056,3.0
broad_flat_0279,broad_flat,broad_flat_idea073,2.0
broad_flat_0280,broad_flat,broad_flat_idea021,4.0
broad_flat_0281,broad_flat,broad_flat_idea066,2.0
broad_flat_0282,broad_flat,broad_flat_idea003,4.0
broad_flat_0283,broad_flat,broad_flat_idea079,3.0
broad_flat_0284,broad_flat,broad_flat_idea009,3.0
broad_flat_0285,broad_flat,broad_flat_idea020,3.0
broad_flat_0286,broad_flat,broad_flat_idea003,4.0
broad_flat_0287,broad_flat,broad_flat_idea062,2.0
broad_flat_0288,broad_flat,broad_flat_idea029,3.0
broad_flat_0289,broad_flat,broad_flat_idea075,3.0
broad_flat_0290,broad_flat,broad_flat_idea005,3.0
broad_flat_0291,broad_flat,broad_flat_idea068,2.0
broad_flat_0292,broad_flat,broad_flat_idea019,2.0
broad_flat_0293,broad_flat,broad_flat_idea011,4.0
broad_flat_0294,broad_flat,broad_flat_idea044,4.0
broad_flat_0295,broad_flat,broad_flat_idea000,2.0
broad_flat_0296,broad_flat,broad_flat_idea032,4.0
broad_flat_0297,broad_flat,broad_flat_idea028,2.0
broad_flat_0298,broad_flat,broad_flat_idea001,3.0
broad_flat_0299,broad_flat,broad_flat_idea025,5.0
narrow_peaked_0000,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0001,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0002,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0003,narrow_peaked,narrow_peaked_idea025,1.0
narrow_peaked_0004,narrow_peaked,narrow_peaked_idea018,3.0
narrow_peaked_0005,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0006,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0007,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0008,narrow_peaked,narrow_peaked_idea025,1.0
narrow_peaked_0009,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0010,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0011,narrow_peaked,narrow_peaked_idea010,4.0
narrow_peaked_0012,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0013,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0014,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0015,narrow_peaked,narrow_peaked_idea006,5.0
narrow_peaked_0016,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0017,narrow_peaked,narrow_peaked_idea012,4.0
narrow_peaked_0018,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0019,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0020,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0021,narrow_peaked,narrow_peaked_idea009,3.0
narrow_peaked_0022,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0023,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0024,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0025,narrow_peaked,narrow_peaked_idea031,3.0
narrow_peaked_0026,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0027,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0028,narrow_peaked,narrow_peaked_idea005,3.0
narrow_peaked_0029,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0030,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0031,narrow_peaked,narrow_peaked_idea020,3.0
narrow_peaked_0032,narrow_peaked,narrow_peaked_idea008,3.0
narrow_peaked_0033,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0034,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0035,narrow_peaked,narrow_peaked_idea014,2.0
narrow_peaked_0036,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0037,narrow_peaked,narrow_peaked_idea025,1.0
narrow_peaked_0038,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0039,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0040,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0041,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0042,narrow_peaked,narrow_peaked_idea006,5.0
narrow_peaked_0043,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0044,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0045,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0046,narrow_peaked,narrow_peaked_idea005,3.0
narrow_peaked_0047,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0048,narrow_peaked,narrow_peaked_idea018,3.0
narrow_peaked_0049,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0050,narrow_peaked,narrow_peaked_idea013,4.0
narrow_peaked_0051,narrow_peaked,narrow_peaked_idea013,4.0
narrow_peaked_0052,narrow_peaked,narrow_peaked_idea019,2.0
narrow_peaked_0053,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0054,narrow_peaked,narrow_peaked_idea014,2.0
narrow_peaked_0055,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0056,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0057,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0058,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0059,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0060,narrow_peaked,narrow_peaked_idea030,3.0
narrow_peaked_0061,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0062,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0063,narrow_peaked,narrow_peaked_idea014,2.0
narrow_peaked_0064,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0065,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0066,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0067,narrow_peaked,narrow_peaked_idea009,3.0
narrow_peaked_0068,narrow_peaked,narrow_peaked_idea006,5.0
narrow_peaked_0069,narrow_peaked,narrow_peaked_idea013,4.0
narrow_peaked_0070,narrow_peaked,narrow_peaked_idea011,3.0
narrow_peaked_0071,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0072,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0073,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0074,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0075,narrow_peaked,narrow_peaked_idea017,3.0
narrow_peaked_0076,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0077,narrow_peaked,narrow_peaked_idea020,3.0
narrow_peaked_0078,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0079,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0080,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0081,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0082,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0083,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0084,narrow_peaked,narrow_peaked_idea011,3.0
narrow_peaked_0085,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0086,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0087,narrow_peaked,narrow_peaked_idea039,3.0
narrow_peaked_0088,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0089,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0090,narrow_peaked,narrow_peaked_idea036,4.0
narrow_peaked_0091,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0092,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0093,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0094,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0095,narrow_peaked,narrow_peaked_idea007,4.0
narrow_peaked_0096,narrow_peaked,narrow_peaked_idea022,4.0
narrow_peaked_0097,narrow_peaked,narrow_peaked_idea024,1.0
narrow_peaked_0098,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0099,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0100,narrow_peaked,narrow_peaked_idea006,5.0
narrow_peaked_0101,narrow_peaked,narrow_peaked_idea027,4.0
narrow_peaked_0102,narrow_peaked,narrow_peaked_idea034,2.0
narrow_peaked_0103,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0104,narrow_peaked,narrow_peaked_idea026,4.0
narrow_peaked_0105,narrow_peaked,narrow_peaked_idea008,3.0
narrow_peaked_0106,narrow_peaked,narrow_peaked_idea017,3.0
narrow_peaked_0107,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0108,narrow_peaked,narrow_peaked_idea034,2.0
narrow_peaked_0109,narrow_peaked,narrow_peaked_idea009,3.0
narrow_peaked_0110,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0111,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0112,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0113,narrow_peaked,narrow_peaked_idea007,4.0
narrow_peaked_0114,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0115,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0116,narrow_peaked,narrow_peaked_idea015,1.0
narrow_peaked_0117,narrow_peaked,narrow_peaked_idea010,4.0
narrow_peaked_0118,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0119,narrow_peaked,narrow_peaked_idea009,3.0
narrow_peaked_0120,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0121,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0122,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0123,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0124,narrow_peaked,narrow_peaked_idea016,3.0
narrow_peaked_0125,narrow_peaked,narrow_peaked_idea018,3.0
narrow_peaked_0126,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0127,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0128,narrow_peaked,narrow_peaked_idea015,1.0
narrow_peaked_0129,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0130,narrow_peaked,narrow_peaked_idea016,3.0
narrow_peaked_0131,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0132,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0133,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0134,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0135,narrow_peaked,narrow_peaked_idea020,3.0
narrow_peaked_0136,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0137,narrow_peaked,narrow_peaked_idea000,4.0
narrow_peaked_0138,narrow_peaked,narrow_peaked_idea008,3.0
narrow_peaked_0139,narrow_peaked,narrow_peaked_idea001,2.0
narrow_peaked_0140,narrow_peaked,narrow_peaked_idea002,2.0
narrow_peaked_0141,narrow_peaked,narrow_peaked_idea034,2.0
narrow_peaked_0142,narrow_peaked,narrow_peaked_idea006,5.0
narrow_peaked_0143,narrow_peaked,narrow_peaked_idea006,5.0
narrow_peaked_0144,narrow_peaked,narrow_peaked_idea025,1.0
narrow_peaked_0145,narrow_peaked,narrow_peaked_idea007,4.0
narrow_peaked_0146,narrow_peaked,narrow_peaked_idea029,3.0
narrow_peaked_0147,narrow_peaked,narrow_peaked_idea004,3.0
narrow_peaked_0148,narrow_peaked,narrow_peaked_idea003,2.0
narrow_peaked_0149,narrow_peaked,narrow_peaked_idea000,4.0
